recency_months,frequency,monetary_cc,time_months,donated_again,email_open_rate,events_attended,sms_opt_in,last_campaign_days,newsletter_segment
9.0,9.0,2250.0,16.0,0,0.4381791649505531,0,1,153.0,Platinum
4.0,14.0,3500.0,40.0,0,0.4522092748124437,1,1,84.0,Platinum
4.0,6.0,1500.0,14.0,0,0.4272288781575972,2,0,75.0,Gold
4.0,12.0,3000.0,34.0,1,0.45371365995683177,0,1,21.0,Platinum
4.0,5.0,1250.0,11.0,1,0.46957703684843755,1,1,81.0,Gold
4.0,8.0,2000.0,21.0,0,0.46271323484939153,0,0,157.0,Platinum
1.0,14.0,3500.0,58.0,0,0.525669551831527,0,1,111.0,Platinum
4.0,10.0,2500.0,28.0,1,0.4677480902277099,0,0,68.0,Platinum
4.0,10.0,2500.0,28.0,1,0.30529666690337603,0,1,146.0,Platinum
4.0,9.0,2250.0,26.0,1,0.46342062571381837,3,0,161.0,Platinum
2.0,16.0,4000.0,64.0,0,0.5023496217901868,0,1,12.0,Platinum
2.0,8.0,2000.0,28.0,1,0.38665025256872554,0,0,15.0,Platinum
2.0,12.0,3000.0,47.0,1,0.38149537957189794,0,0,156.0,Platinum
4.0,6.0,1500.0,16.0,1,0.3698949770012339,0,1,50.0,Gold
2.0,14.0,3500.0,57.0,1,0.5314964407728041,0,0,65.0,Platinum
4.0,7.0,1750.0,22.0,1,0.39508138993429587,0,0,148.0,Gold
2.0,13.0,3250.0,53.0,1,0.5251814328178658,1,0,51.0,Platinum
2.0,5.0,1250.0,16.0,0,0.37254967937047856,1,0,77.0,Gold
2.0,5.0,1250.0,16.0,1,0.4549541692771225,0,1,100.0,Gold
2.0,5.0,1250.0,16.0,0,0.36588881308722976,2,0,104.0,Gold
4.0,20.0,5000.0,69.0,1,0.5719258822789223,0,1,15.0,Platinum
4.0,9.0,2250.0,28.0,1,0.5347826240417553,0,1,5.0,Platinum
2.0,9.0,2250.0,36.0,0,0.3899852317313301,3,0,51.0,Platinum
2.0,2.0,500.0,2.0,0,0.19407440244622376,0,0,5.0,Bronze
2.0,2.0,500.0,2.0,0,0.3273716833999819,0,0,73.0,Bronze
2.0,2.0,500.0,2.0,0,0.38365173166244193,1,1,171.0,Bronze
2.0,11.0,2750.0,46.0,0,0.30321258384037053,1,0,18.0,Platinum
2.0,11.0,2750.0,46.0,1,0.4038221768621827,0,1,11.0,Platinum
2.0,6.0,1500.0,22.0,0,0.2874811821247035,0,0,4.0,Gold
2.0,12.0,3000.0,52.0,0,0.3296699051169778,1,1,63.0,Platinum
4.0,5.0,1250.0,14.0,1,0.29732064989021834,0,0,6.0,Gold
4.0,19.0,4750.0,69.0,1,0.515371873651367,2,0,92.0,Platinum
4.0,8.0,2000.0,26.0,1,0.46147901857503015,0,0,172.0,Platinum
2.0,7.0,1750.0,28.0,1,0.43496570412729724,0,1,11.0,Gold
2.0,16.0,4000.0,81.0,0,0.6348415668984696,0,0,100.0,Platinum
3.0,6.0,1500.0,21.0,0,0.4560805660024435,0,0,136.0,Gold
2.0,7.0,1750.0,29.0,0,0.34815163017600115,1,0,145.0,Gold
2.0,8.0,2000.0,35.0,1,0.3811401098815351,1,1,7.0,Platinum
2.0,10.0,2500.0,49.0,0,0.47034813298108424,0,0,72.0,Platinum
4.0,5.0,1250.0,16.0,1,0.31244424837144474,0,0,126.0,Gold
2.0,3.0,750.0,9.0,1,0.23041009447869737,0,0,125.0,Silver
3.0,16.0,4000.0,74.0,0,0.5483174193050243,2,1,2.0,Platinum
2.0,4.0,1000.0,14.0,1,0.399432625727077,1,1,102.0,Silver
0.0,2.0,500.0,4.0,0,0.31251862020920396,0,1,133.0,Bronze
4.0,7.0,1750.0,25.0,0,0.38236093501083945,0,0,159.0,Gold
1.0,9.0,2250.0,51.0,0,0.49313983727906,0,1,127.0,Platinum
2.0,4.0,1000.0,16.0,0,0.2597869393632141,0,0,83.0,Silver
2.0,4.0,1000.0,16.0,0,0.4612965566605069,0,0,17.0,Silver
4.0,17.0,4250.0,71.0,1,0.5232794148763398,1,1,146.0,Platinum
2.0,2.0,500.0,4.0,0,0.24096804541464453,0,0,83.0,Bronze
2.0,2.0,500.0,4.0,1,0.27591177006439094,0,1,21.0,Bronze
2.0,2.0,500.0,4.0,1,0.3715596296972443,1,0,139.0,Bronze
2.0,4.0,1000.0,16.0,1,0.3604020992724094,1,0,28.0,Silver
2.0,2.0,500.0,4.0,0,0.26883458688218287,2,1,114.0,Bronze
2.0,2.0,500.0,4.0,0,0.3074124714287585,1,0,36.0,Bronze
2.0,2.0,500.0,4.0,0,0.4490072699778192,0,0,54.0,Bronze
4.0,6.0,1500.0,23.0,1,0.4540033236905276,0,1,40.0,Gold
2.0,4.0,1000.0,16.0,0,0.48161219047055526,0,0,65.0,Silver
2.0,4.0,1000.0,16.0,0,0.28313979786242827,0,1,153.0,Silver
2.0,4.0,1000.0,16.0,0,0.260116389964111,1,1,144.0,Silver
2.0,6.0,1500.0,28.0,1,0.4074635202534011,0,1,33.0,Gold
2.0,6.0,1500.0,28.0,0,0.2904353964390883,0,0,118.0,Gold
4.0,2.0,500.0,4.0,0,0.26113182997714357,0,0,112.0,Bronze
4.0,2.0,500.0,4.0,0,0.29044854493679767,0,0,46.0,Bronze
4.0,2.0,500.0,4.0,0,0.4108877299928204,0,0,148.0,Bronze
2.0,7.0,1750.0,35.0,1,0.5060076155477363,0,0,129.0,Gold
4.0,2.0,500.0,4.0,1,0.5016631899085862,0,0,40.0,Bronze
4.0,2.0,500.0,4.0,0,0.30706702698085586,0,0,103.0,Bronze
4.0,2.0,500.0,4.0,0,0.19515867244914892,0,0,12.0,Bronze
4.0,2.0,500.0,4.0,0,0.25509592020308514,0,1,111.0,Bronze
12.0,11.0,2750.0,23.0,0,0.4063039037618943,0,0,99.0,Platinum
4.0,7.0,1750.0,28.0,0,0.37827677962834233,0,0,173.0,Gold
3.0,17.0,4250.0,86.0,0,0.5933806813950492,3,0,144.0,Platinum
4.0,9.0,2250.0,38.0,1,0.46821617826717654,1,0,129.0,Platinum
4.0,4.0,1000.0,14.0,1,0.41987677426175934,0,0,104.0,Silver
5.0,7.0,1750.0,26.0,1,0.3014023782400588,0,0,151.0,Gold
4.0,8.0,2000.0,34.0,1,0.3895359712201031,1,0,59.0,Platinum
2.0,13.0,3250.0,76.0,1,0.6519514194478473,0,1,11.0,Platinum
4.0,9.0,2250.0,40.0,0,0.46516831451310897,0,1,3.0,Platinum
2.0,5.0,1250.0,26.0,0,0.3874147514181789,1,0,7.0,Gold
2.0,5.0,1250.0,26.0,0,0.4048413372666798,0,0,168.0,Gold
6.0,17.0,4250.0,70.0,0,0.503579506993976,0,1,139.0,Platinum
0.0,8.0,2000.0,59.0,0,0.41127511384897014,0,1,120.0,Platinum
3.0,5.0,1250.0,26.0,0,0.25343171365739603,0,1,169.0,Gold
2.0,3.0,750.0,14.0,0,0.3555126408347901,0,0,58.0,Silver
2.0,10.0,2500.0,64.0,0,0.4922191231827669,0,1,133.0,Platinum
4.0,5.0,1250.0,23.0,1,0.2578170072109235,1,0,72.0,Gold
4.0,9.0,2250.0,46.0,0,0.5520449529090923,0,1,11.0,Platinum
4.0,5.0,1250.0,23.0,0,0.4235442068760676,0,0,109.0,Gold
4.0,8.0,2000.0,40.0,1,0.3709929237888725,1,0,4.0,Platinum
2.0,12.0,3000.0,82.0,0,0.5777114204743043,1,0,152.0,Platinum
11.0,24.0,6000.0,64.0,0,0.631564922684362,1,0,145.0,Platinum
2.0,7.0,1750.0,46.0,1,0.36636816484933554,0,1,67.0,Gold
4.0,11.0,2750.0,61.0,0,0.46077445105115306,1,1,174.0,Platinum
1.0,7.0,1750.0,57.0,0,0.4486518698983177,1,1,118.0,Gold
2.0,11.0,2750.0,79.0,1,0.5833409672772956,0,1,95.0,Platinum
2.0,3.0,750.0,16.0,1,0.35952275059887895,0,0,166.0,Silver
4.0,5.0,1250.0,26.0,1,0.38741206186329175,1,0,121.0,Gold
2.0,6.0,1500.0,41.0,1,0.4363073008904603,0,0,90.0,Gold
2.0,5.0,1250.0,33.0,1,0.3743989874026557,1,0,67.0,Gold
2.0,4.0,1000.0,26.0,0,0.30385658375854435,0,1,149.0,Silver
2.0,5.0,1250.0,34.0,0,0.35922086887381294,2,1,120.0,Gold
4.0,8.0,2000.0,46.0,1,0.3857135840515543,0,1,55.0,Platinum
2.0,4.0,1000.0,26.0,0,0.31809592011168475,0,0,32.0,Silver
4.0,8.0,2000.0,48.0,1,0.48591354360427963,2,1,79.0,Platinum
2.0,2.0,500.0,10.0,1,0.36335226482948735,0,1,170.0,Bronze
4.0,5.0,1250.0,28.0,0,0.3750865079633568,1,1,148.0,Gold
2.0,12.0,3000.0,95.0,0,0.3665315439361805,2,1,43.0,Platinum
2.0,2.0,500.0,10.0,0,0.3611710709707208,0,1,136.0,Bronze
4.0,6.0,1500.0,35.0,0,0.43885635381726346,0,0,161.0,Gold
2.0,11.0,2750.0,88.0,0,0.5428623572823463,0,1,150.0,Platinum
2.0,3.0,750.0,19.0,0,0.24791141974717384,0,1,102.0,Silver
2.0,5.0,1250.0,37.0,0,0.41948258710049374,1,0,83.0,Gold
2.0,12.0,3000.0,98.0,0,0.4089790687766691,1,0,32.0,Platinum
9.0,5.0,1250.0,19.0,0,0.3573890262023101,0,0,43.0,Gold
2.0,2.0,500.0,11.0,0,0.423026083461178,0,1,68.0,Bronze
2.0,9.0,2250.0,74.0,0,0.43638878901969386,2,1,76.0,Platinum
5.0,14.0,3500.0,86.0,0,0.4942177512572821,0,0,36.0,Platinum
4.0,3.0,750.0,16.0,0,0.3161729667147864,1,0,142.0,Silver
4.0,3.0,750.0,16.0,0,0.4498334599229451,0,0,116.0,Silver
4.0,2.0,500.0,9.0,1,0.44823047104592184,0,0,78.0,Bronze
4.0,3.0,750.0,16.0,1,0.26445432311107747,0,0,129.0,Silver
6.0,3.0,750.0,14.0,0,0.3117927993902212,2,0,129.0,Silver
2.0,2.0,500.0,11.0,0,0.3857406196512467,1,0,123.0,Bronze
2.0,2.0,500.0,11.0,1,0.5290375413899235,0,0,23.0,Bronze
2.0,2.0,500.0,11.0,0,0.2938827892806741,1,1,153.0,Bronze
2.0,7.0,1750.0,58.0,1,0.38940635814756164,0,1,111.0,Gold
4.0,6.0,1500.0,39.0,0,0.3585221192338545,1,0,153.0,Gold
4.0,11.0,2750.0,78.0,0,0.38513774882476837,0,1,10.0,Platinum
2.0,1.0,250.0,2.0,1,0.41390910183866997,0,0,164.0,Bronze
2.0,1.0,250.0,2.0,0,0.3423724348143042,0,1,155.0,Bronze
2.0,1.0,250.0,2.0,0,0.3911342887659782,1,0,28.0,Bronze
2.0,1.0,250.0,2.0,0,0.29249611129558234,0,0,158.0,Bronze
2.0,1.0,250.0,2.0,0,0.17846339723805793,0,1,113.0,Bronze
2.0,1.0,250.0,2.0,0,0.37375686799922914,0,0,26.0,Bronze
2.0,1.0,250.0,2.0,0,0.40339660707946423,0,0,33.0,Bronze
2.0,1.0,250.0,2.0,0,0.20709669197658837,0,1,24.0,Bronze
2.0,1.0,250.0,2.0,0,0.3875828260010403,0,1,139.0,Bronze
2.0,1.0,250.0,2.0,0,0.3689519787692788,0,0,101.0,Bronze
2.0,1.0,250.0,2.0,1,0.4538064228476971,0,0,145.0,Bronze
2.0,1.0,250.0,2.0,1,0.273030215108142,1,0,79.0,Bronze
2.0,1.0,250.0,2.0,1,0.37506995405274035,0,0,30.0,Bronze
2.0,1.0,250.0,2.0,0,0.27261445448696814,0,1,85.0,Bronze
2.0,1.0,250.0,2.0,0,0.30284167518142635,0,1,5.0,Bronze
2.0,1.0,250.0,2.0,0,0.21516175478044192,0,1,64.0,Bronze
2.0,1.0,250.0,2.0,0,0.16433275531658656,0,1,176.0,Bronze
2.0,1.0,250.0,2.0,0,0.286701019798534,0,0,20.0,Bronze
2.0,1.0,250.0,2.0,0,0.2810685593330509,0,0,26.0,Bronze
2.0,1.0,250.0,2.0,0,0.4710382876345276,1,0,90.0,Bronze
2.0,1.0,250.0,2.0,0,0.3476974482160372,2,0,136.0,Bronze
2.0,1.0,250.0,2.0,0,0.33504690568760115,0,0,11.0,Bronze
11.0,10.0,2500.0,35.0,0,0.5933363303758156,0,0,8.0,Platinum
11.0,4.0,1000.0,16.0,1,0.4404964863402317,0,1,130.0,Silver
4.0,5.0,1250.0,33.0,1,0.3421943978248284,1,1,126.0,Gold
4.0,6.0,1500.0,41.0,1,0.3917865597843294,0,1,162.0,Gold
2.0,3.0,750.0,22.0,0,0.34448817140635213,0,0,141.0,Silver
4.0,4.0,1000.0,26.0,1,0.2941220487064622,0,0,149.0,Silver
10.0,4.0,1000.0,16.0,0,0.525213094494998,1,1,165.0,Silver
2.0,4.0,1000.0,35.0,0,0.3742284339275191,0,1,175.0,Silver
4.0,12.0,3000.0,88.0,0,0.5544279330040487,0,1,148.0,Platinum
13.0,8.0,2000.0,26.0,0,0.589390445761401,2,1,150.0,Platinum
11.0,9.0,2250.0,33.0,0,0.35347311835844847,0,1,9.0,Platinum
4.0,5.0,1250.0,34.0,0,0.38494325666925616,2,1,100.0,Gold
4.0,4.0,1000.0,26.0,0,0.3475774406211949,0,1,7.0,Silver
8.0,15.0,3750.0,77.0,0,0.3158330810416793,1,1,29.0,Platinum
4.0,5.0,1250.0,35.0,1,0.36729665447655585,0,0,53.0,Gold
4.0,7.0,1750.0,52.0,0,0.355525394744433,0,1,120.0,Gold
4.0,7.0,1750.0,52.0,0,0.45074642111085433,2,0,11.0,Gold
2.0,4.0,1000.0,35.0,0,0.30434990455833777,0,0,82.0,Silver
11.0,11.0,2750.0,42.0,0,0.38488994709086743,0,0,40.0,Platinum
2.0,2.0,500.0,14.0,0,0.256198339672461,0,1,130.0,Bronze
2.0,5.0,1250.0,47.0,1,0.3714503719317368,0,0,24.0,Gold
9.0,8.0,2000.0,38.0,1,0.3734734012908609,0,1,68.0,Platinum
4.0,6.0,1500.0,47.0,0,0.4179378620719581,0,1,56.0,Gold
11.0,7.0,1750.0,29.0,0,0.36436354017959544,0,0,137.0,Gold
9.0,9.0,2250.0,45.0,0,0.5335804943439062,0,1,100.0,Platinum
4.0,6.0,1500.0,52.0,0,0.4073878034294739,0,1,53.0,Gold
4.0,7.0,1750.0,58.0,0,0.25681910646523615,0,1,4.0,Gold
6.0,2.0,500.0,11.0,1,0.4566761709155348,0,0,51.0,Bronze
4.0,7.0,1750.0,58.0,0,0.5154701532494961,1,1,121.0,Gold
11.0,9.0,2250.0,38.0,0,0.3094816765238819,0,0,50.0,Platinum
11.0,6.0,1500.0,26.0,0,0.33409417215486403,0,0,90.0,Gold
2.0,2.0,500.0,16.0,0,0.3628184764854892,0,0,128.0,Bronze
2.0,7.0,1750.0,76.0,0,0.44780055497493026,0,0,82.0,Gold
11.0,6.0,1500.0,27.0,0,0.3755049992855694,0,0,112.0,Gold
11.0,3.0,750.0,14.0,0,0.2993703918424699,0,1,167.0,Silver
4.0,1.0,250.0,4.0,0,0.4485868050809397,0,0,84.0,Bronze
4.0,1.0,250.0,4.0,0,0.4562293098410834,0,0,112.0,Bronze
4.0,1.0,250.0,4.0,0,0.37501252380950595,1,0,130.0,Bronze
4.0,1.0,250.0,4.0,0,0.3607424344663319,0,0,105.0,Bronze
4.0,1.0,250.0,4.0,0,0.0313415817941432,1,1,2.0,Bronze
4.0,1.0,250.0,4.0,1,0.2176910608940929,1,0,139.0,Bronze
4.0,1.0,250.0,4.0,0,0.3459400434909608,1,1,103.0,Bronze
4.0,1.0,250.0,4.0,0,0.26152057609907436,0,0,31.0,Bronze
4.0,1.0,250.0,4.0,0,0.402247045209559,1,1,32.0,Bronze
4.0,1.0,250.0,4.0,0,0.3762191811245822,3,0,8.0,Bronze
4.0,1.0,250.0,4.0,0,0.2139724149745713,0,0,131.0,Bronze
4.0,1.0,250.0,4.0,1,0.3257238816283298,0,0,79.0,Bronze
4.0,1.0,250.0,4.0,1,0.4419162599273396,0,0,168.0,Bronze
4.0,1.0,250.0,4.0,0,0.3127261661045524,0,0,143.0,Bronze
4.0,1.0,250.0,4.0,1,0.3898350634648797,0,0,45.0,Bronze
4.0,1.0,250.0,4.0,1,0.24061439836183546,0,1,32.0,Bronze
4.0,1.0,250.0,4.0,0,0.2957447099412994,0,1,104.0,Bronze
4.0,3.0,750.0,24.0,0,0.4014695998414918,0,1,57.0,Silver
4.0,1.0,250.0,4.0,0,0.4823991603195017,0,0,162.0,Bronze
4.0,1.0,250.0,4.0,0,0.22226460921970986,1,0,33.0,Bronze
4.0,1.0,250.0,4.0,0,0.3054155145972468,0,0,90.0,Bronze
4.0,1.0,250.0,4.0,1,0.2817465176200336,0,0,146.0,Bronze
4.0,1.0,250.0,4.0,0,0.18669211491302898,0,1,50.0,Bronze
10.0,8.0,2000.0,39.0,0,0.4751591474447557,0,0,144.0,Platinum
14.0,7.0,1750.0,26.0,0,0.5351788759850947,0,0,24.0,Gold
8.0,10.0,2500.0,63.0,0,0.5361133557997524,0,1,96.0,Platinum
11.0,3.0,750.0,15.0,0,0.45195837473761297,1,1,77.0,Silver
4.0,2.0,500.0,14.0,0,0.4025481396759136,0,1,157.0,Bronze
2.0,4.0,1000.0,43.0,0,0.36263881815414534,0,1,138.0,Silver
8.0,9.0,2250.0,58.0,0,0.3334257524329439,2,0,149.0,Platinum
8.0,8.0,2000.0,52.0,1,0.38265533183210754,2,0,9.0,Platinum
11.0,22.0,5500.0,98.0,0,0.4840819913349381,0,1,123.0,Platinum
4.0,3.0,750.0,25.0,1,0.4289277242747824,2,1,8.0,Silver
11.0,17.0,4250.0,79.0,1,0.5317117263912282,0,0,117.0,Platinum
9.0,2.0,500.0,11.0,0,0.21740700948126862,0,0,21.0,Bronze
4.0,5.0,1250.0,46.0,0,0.2206484331591349,0,0,4.0,Gold
11.0,12.0,3000.0,58.0,0,0.5025948325901954,0,1,26.0,Platinum
7.0,12.0,3000.0,86.0,0,0.44929416597182253,0,0,163.0,Platinum
11.0,2.0,500.0,11.0,0,0.2859600358474892,0,1,124.0,Bronze
11.0,2.0,500.0,11.0,0,0.40804882032474155,0,0,31.0,Bronze
11.0,2.0,500.0,11.0,0,0.35930593449617787,0,0,95.0,Bronze
2.0,6.0,1500.0,75.0,0,0.25656462704793837,1,1,32.0,Gold
11.0,8.0,2000.0,41.0,1,0.3295164209327691,1,0,105.0,Platinum
11.0,3.0,750.0,16.0,1,0.2688761669522699,0,0,71.0,Silver
12.0,13.0,3250.0,59.0,0,0.45450430362125005,1,1,46.0,Platinum
2.0,3.0,750.0,35.0,0,0.43286465297464505,0,0,122.0,Silver
16.0,8.0,2000.0,28.0,0,0.616664818673709,0,1,0.0,Platinum
11.0,7.0,1750.0,37.0,0,0.4939335443363885,1,1,158.0,Gold
4.0,3.0,750.0,28.0,0,0.12344880169630368,1,0,30.0,Silver
12.0,12.0,3000.0,58.0,0,0.31153064005967035,1,0,30.0,Platinum
4.0,4.0,1000.0,41.0,0,0.4643651132839332,0,0,107.0,Silver
11.0,14.0,3500.0,73.0,1,0.48347358883951763,1,0,101.0,Platinum
2.0,2.0,500.0,23.0,0,0.3085938589788719,0,1,158.0,Bronze
2.0,3.0,750.0,38.0,1,0.30334142021845095,0,0,111.0,Silver
4.0,5.0,1250.0,58.0,0,0.38276965324439083,0,1,84.0,Gold
4.0,4.0,1000.0,43.0,1,0.41651624083755495,0,1,53.0,Silver
3.0,2.0,500.0,23.0,0,0.3041271071508507,0,0,149.0,Bronze
11.0,8.0,2000.0,46.0,0,0.4922490017803335,1,0,123.0,Platinum
4.0,7.0,1750.0,82.0,0,0.3422261452118413,0,0,89.0,Gold
13.0,4.0,1000.0,21.0,0,0.28668712360441906,1,1,120.0,Silver
16.0,11.0,2750.0,40.0,0,0.4154436559555508,0,1,155.0,Platinum
16.0,7.0,1750.0,28.0,0,0.37939087609118777,0,0,52.0,Gold
7.0,2.0,500.0,16.0,0,0.3101203988684089,0,0,162.0,Bronze
4.0,5.0,1250.0,58.0,0,0.3385332128355877,0,0,159.0,Gold
4.0,5.0,1250.0,58.0,0,0.4067321705332463,0,0,29.0,Gold
4.0,4.0,1000.0,46.0,0,0.3767205622326195,0,0,36.0,Silver
14.0,13.0,3250.0,57.0,0,0.5101890801120237,1,0,127.0,Platinum
4.0,3.0,750.0,34.0,0,0.3635257490868735,1,1,134.0,Silver
14.0,18.0,4500.0,78.0,0,0.643146204384807,1,0,14.0,Platinum
11.0,8.0,2000.0,48.0,0,0.420289553168955,0,1,68.0,Platinum
14.0,16.0,4000.0,70.0,0,0.5671635708645854,0,1,8.0,Platinum
14.0,4.0,1000.0,22.0,1,0.4026176805232689,0,1,18.0,Silver
14.0,5.0,1250.0,26.0,0,0.319420595837875,0,0,71.0,Gold
8.0,2.0,500.0,16.0,0,0.40224421245876885,1,0,41.0,Bronze
11.0,5.0,1250.0,33.0,0,0.49248479062869205,0,1,158.0,Gold
11.0,2.0,500.0,14.0,0,0.25928610016107934,0,0,8.0,Bronze
4.0,2.0,500.0,23.0,0,0.1588028718470264,0,1,149.0,Bronze
9.0,2.0,500.0,16.0,1,0.48023168318392523,1,1,77.0,Bronze
14.0,5.0,1250.0,28.0,1,0.20689223298595777,0,0,121.0,Gold
14.0,3.0,750.0,19.0,1,0.40067981062384367,0,1,55.0,Silver
14.0,4.0,1000.0,23.0,1,0.22773531906041616,0,0,4.0,Silver
16.0,12.0,3000.0,50.0,0,0.5885011832233136,2,1,72.0,Platinum
11.0,4.0,1000.0,28.0,0,0.4561949553131048,1,1,22.0,Silver
11.0,5.0,1250.0,35.0,0,0.4636482643977496,0,0,25.0,Gold
11.0,5.0,1250.0,35.0,0,0.2955406622659491,0,1,64.0,Gold
2.0,4.0,1000.0,70.0,0,0.34466551727096056,0,1,120.0,Silver
14.0,5.0,1250.0,28.0,0,0.2469200020694657,0,1,50.0,Gold
14.0,2.0,500.0,14.0,0,0.47894940678206654,0,0,160.0,Bronze
14.0,2.0,500.0,14.0,0,0.1748501386991656,0,1,137.0,Bronze
14.0,2.0,500.0,14.0,0,0.3541795117877701,0,0,44.0,Bronze
14.0,2.0,500.0,14.0,0,0.41687522359534346,0,0,160.0,Bronze
14.0,2.0,500.0,14.0,0,0.35220922675679434,1,0,62.0,Bronze
14.0,2.0,500.0,14.0,0,0.1681736906004892,2,1,111.0,Bronze
2.0,3.0,750.0,52.0,0,0.5192108338502659,0,0,134.0,Silver
14.0,6.0,1500.0,34.0,0,0.3427430114759668,1,0,8.0,Gold
11.0,5.0,1250.0,37.0,1,0.38597284493393974,0,0,130.0,Gold
4.0,5.0,1250.0,74.0,0,0.3675345456623672,0,1,102.0,Gold
11.0,3.0,750.0,23.0,0,0.42091192641215813,0,1,89.0,Silver
16.0,4.0,1000.0,23.0,0,0.21774593024819777,0,0,0.0,Silver
16.0,3.0,750.0,19.0,0,0.3426079267008401,0,0,98.0,Silver
11.0,5.0,1250.0,38.0,0,0.3920315631311907,0,1,11.0,Gold
11.0,2.0,500.0,16.0,0,0.27134915613175276,1,1,87.0,Bronze
12.0,9.0,2250.0,60.0,0,0.5046770688437787,0,0,81.0,Platinum
9.0,1.0,250.0,9.0,0,0.2669313917620163,0,0,0.0,Bronze
9.0,1.0,250.0,9.0,0,0.41695607113927835,0,0,10.0,Bronze
4.0,2.0,500.0,29.0,0,0.37022095546853206,0,0,123.0,Bronze
11.0,2.0,500.0,17.0,0,0.2208200523369056,0,0,45.0,Bronze
14.0,4.0,1000.0,26.0,0,0.37455683493520736,0,0,63.0,Silver
11.0,9.0,2250.0,72.0,1,0.42832043938874076,1,1,16.0,Platinum
11.0,5.0,1250.0,41.0,0,0.363308866019241,0,1,77.0,Gold
15.0,16.0,4000.0,82.0,0,0.5474429686080108,1,0,100.0,Platinum
9.0,5.0,1250.0,51.0,1,0.39030262817305555,0,1,3.0,Gold
11.0,4.0,1000.0,34.0,0,0.4351238519207683,0,0,103.0,Silver
14.0,8.0,2000.0,50.0,1,0.37665028414190593,0,1,95.0,Platinum
16.0,7.0,1750.0,38.0,0,0.39260554578603973,0,0,15.0,Gold
14.0,2.0,500.0,16.0,0,0.3741072465848915,0,0,87.0,Bronze
2.0,2.0,500.0,41.0,0,0.5091305778230519,0,1,95.0,Bronze
14.0,16.0,4000.0,98.0,0,0.5254801505137987,0,0,67.0,Platinum
14.0,4.0,1000.0,28.0,1,0.4226417621022113,0,1,107.0,Silver
16.0,7.0,1750.0,39.0,0,0.5430038970754083,0,1,0.0,Gold
14.0,7.0,1750.0,47.0,0,0.44956464112619143,1,0,84.0,Gold
16.0,6.0,1500.0,35.0,0,0.34906162536584034,0,1,77.0,Gold
16.0,6.0,1500.0,35.0,1,0.33090946583287423,1,1,144.0,Gold
11.0,7.0,1750.0,62.0,1,0.48785595028398143,0,1,68.0,Gold
16.0,2.0,500.0,16.0,0,0.3897787683188656,0,0,133.0,Bronze
16.0,3.0,750.0,21.0,1,0.3504131630026716,0,0,42.0,Silver
11.0,3.0,750.0,28.0,0,0.380319372323935,0,1,122.0,Silver
11.0,7.0,1750.0,64.0,0,0.4251103124893395,0,0,155.0,Gold
11.0,1.0,250.0,11.0,1,0.37644056285210276,1,0,162.0,Bronze
9.0,3.0,750.0,34.0,0,0.40094482919195745,1,0,162.0,Silver
14.0,4.0,1000.0,30.0,0,0.3708454102402188,0,0,36.0,Silver
23.0,38.0,9500.0,98.0,0,0.8476740315735081,0,1,0.0,Platinum
11.0,6.0,1500.0,58.0,0,0.3848316302160256,0,0,167.0,Gold
11.0,1.0,250.0,11.0,0,0.280497547120035,0,0,36.0,Bronze
11.0,1.0,250.0,11.0,0,0.19591283128556697,1,0,80.0,Bronze
